N,P,K,temperature,humidity,ph,rainfall,label
85.0,46.6,41.6,26.17,84.41,5.88,287.38,rice
87.7,44.6,41.4,22.69,83.84,6.12,182.6,rice
62.8,44.0,37.5,24.05,82.73,5.29,283.97,rice
77.7,47.9,36.4,22.55,85.28,5.42,251.27,rice
74.0,45.7,38.5,26.74,84.97,5.47,264.68,rice
67.8,48.8,35.1,21.18,85.49,6.37,245.14,rice
78.8,45.6,36.3,22.24,83.85,6.53,250.31,rice
62.4,49.5,39.0,22.32,86.53,6.52,267.94,rice
71.6,45.6,40.8,25.21,83.8,5.91,206.81,rice
68.0,52.6,43.4,23.37,87.51,6.18,220.65,rice
83.6,57.1,39.9,26.24,80.0,6.41,242.61,rice
77.0,48.1,35.0,23.12,85.89,6.74,224.45,rice
71.9,44.4,42.3,24.08,83.68,6.26,242.91,rice
89.7,43.1,39.2,22.81,81.34,6.15,247.83,rice
80.1,46.0,36.5,22.76,84.14,5.6,235.16,rice
84.0,59.3,40.4,23.95,84.81,5.04,239.2,rice
80.6,60.0,39.5,24.03,84.91,5.42,274.28,rice
87.5,52.4,37.7,25.95,81.5,6.29,300.0,rice
70.1,44.0,40.2,22.62,81.12,6.03,208.13,rice
84.7,41.8,43.9,22.13,84.19,6.41,203.07,rice
82.3,55.7,36.0,23.82,85.65,6.39,202.89,rice
66.8,50.8,40.7,23.94,85.87,5.66,246.97,rice
82.9,43.0,44.7,24.33,82.02,6.33,210.76,rice
87.9,54.7,37.9,25.19,86.03,6.41,296.9,rice
77.5,42.8,37.8,22.07,84.81,6.17,248.3,rice
88.3,47.6,43.6,23.04,90.0,6.31,214.29,rice
69.3,50.5,39.4,24.75,86.18,5.96,214.6,rice
64.9,44.7,42.1,23.87,81.89,6.09,251.56,rice
71.2,48.5,40.1,21.5,85.89,6.28,272.49,rice
90.5,38.9,37.7,24.4,86.28,6.26,300.0,rice
85.7,54.6,42.4,24.64,84.21,6.38,216.82,rice
77.6,44.5,40.2,27.0,80.33,6.34,191.62,rice
75.3,54.3,40.2,21.61,83.21,6.34,218.09,rice
82.2,47.8,38.4,27.0,86.58,5.0,245.59,rice
73.4,52.8,38.0,23.3,86.26,6.43,203.99,rice
76.7,44.5,38.4,26.59,86.01,5.37,267.54,rice
100.0,54.0,36.2,22.65,88.17,5.65,253.31,rice
87.7,41.7,39.9,20.0,82.44,5.87,202.57,rice
96.3,38.6,38.9,23.73,88.6,5.28,274.89,rice
80.1,41.4,41.2,23.85,83.5,6.03,228.44,rice
81.1,51.6,44.0,21.33,90.0,5.02,235.45,rice
85.9,49.3,38.4,23.14,83.77,5.71,265.49,rice
83.6,43.2,42.2,24.04,87.03,6.31,215.13,rice
74.4,52.2,41.5,23.46,85.29,6.64,222.25,rice
85.5,46.2,39.5,25.42,87.06,6.41,279.16,rice
80.2,51.8,39.2,24.07,84.67,6.05,257.85,rice
71.8,60.0,37.5,21.38,87.9,6.4,258.72,rice
86.3,47.4,37.8,23.63,83.31,6.49,235.59,rice
71.7,45.5,41.0,22.51,82.94,6.12,247.35,rice
74.9,44.6,40.6,20.97,81.48,5.64,233.6,rice
83.1,56.7,42.1,23.22,84.95,5.5,239.44,rice
77.1,49.5,37.9,24.41,88.83,5.95,252.05,rice
86.9,45.0,40.6,23.52,85.24,5.61,240.74,rice
85.0,56.6,42.4,27.0,83.08,6.44,245.5,rice
100.0,42.4,37.9,22.45,80.0,5.74,217.23,rice
81.5,49.6,44.7,25.16,83.56,5.55,254.76,rice
66.8,58.9,42.9,22.68,80.72,6.68,236.56,rice
92.4,37.5,38.5,23.51,85.12,5.77,258.69,rice
69.3,46.6,40.3,24.4,86.78,5.44,193.98,rice
92.8,49.6,38.1,26.21,85.29,6.59,242.03,rice
100.0,58.5,39.4,25.2,86.61,6.68,211.05,rice
